6/7/2017  13:46:31  Error detectado, revisar internet
6/7/2017  13:46:54  Error detectado, revisar internet
6/7/2017  13:47:16  Error detectado, revisar internet
6/7/2017  13:47:38  Error detectado, revisar internet
6/7/2017  13:48:0  Error detectado, revisar internet
6/7/2017  13:48:22  Error detectado, revisar internet
6/7/2017  13:48:45  Error detectado, revisar internet
6/7/2017  13:49:7  Error detectado, revisar internet
6/7/2017  13:49:29  Error detectado, revisar internet
6/7/2017  13:49:52  Error detectado, revisar internet
6/7/2017  13:50:15  Error detectado, revisar internet
6/7/2017  13:50:37  Error detectado, revisar internet
6/7/2017  13:53:21  Error detectado, revisar internet
6/7/2017  13:53:44  Error detectado, revisar internet
6/7/2017  13:54:6  Error detectado, revisar internet
6/7/2017  13:54:28  Error detectado, revisar internet
6/7/2017  13:54:51  Error detectado, revisar internet
6/7/2017  13:55:14  Error detectado, revisar internet
6/7/2017  13:55:36  Error detectado, revisar internet
6/7/2017  13:55:59  Error detectado, revisar internet
6/7/2017  13:56:21  Error detectado, revisar internet
6/7/2017  13:56:43  Error detectado, revisar internet
6/7/2017  13:57:5  Error detectado, revisar internet
6/7/2017  13:57:28  Error detectado, revisar internet
6/7/2017  13:57:50  Error detectado, revisar internet
6/7/2017  13:58:12  Error detectado, revisar internet
6/7/2017  13:58:34  Error detectado, revisar internet
6/7/2017  13:58:57  Error detectado, revisar internet
6/7/2017  13:59:19  Error detectado, revisar internet
6/7/2017  13:59:41  Error detectado, revisar internet
6/7/2017  14:0:4  Error detectado, revisar internet
6/7/2017  14:0:26  Error detectado, revisar internet
6/7/2017  14:0:48  Error detectado, revisar internet
6/7/2017  14:1:11  Error detectado, revisar internet
6/7/2017  14:1:33  Error detectado, revisar internet
6/7/2017  14:1:55  Error detectado, revisar internet
6/7/2017  14:2:18  Error detectado, revisar internet
6/7/2017  14:2:40  Error detectado, revisar internet
6/7/2017  14:3:2  Error detectado, revisar internet
6/7/2017  14:3:24  Error detectado, revisar internet
6/7/2017  14:3:47  Error detectado, revisar internet
6/7/2017  14:4:9  Error detectado, revisar internet
6/7/2017  14:4:31  Error detectado, revisar internet
6/7/2017  14:4:53  Error detectado, revisar internet
6/7/2017  14:5:16  Error detectado, revisar internet
6/7/2017  14:15:5  Error detectado, revisar internet
6/7/2017  14:15:27  Error detectado, revisar internet
6/7/2017  14:15:50  Error detectado, revisar internet
6/7/2017  14:16:12  Error detectado, revisar internet
6/7/2017  14:16:34  Error detectado, revisar internet
6/7/2017  14:16:56  Error detectado, revisar internet
6/7/2017  14:17:19  Error detectado, revisar internet
6/7/2017  14:17:41  Error detectado, revisar internet
6/7/2017  14:18:3  Error detectado, revisar internet
6/7/2017  14:18:25  Error detectado, revisar internet
6/7/2017  14:18:48  Error detectado, revisar internet
6/7/2017  14:19:10  Error detectado, revisar internet
6/7/2017  14:19:32  Error detectado, revisar internet
